2013PN200019,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2013-06-26 11:05,TRIPLICATE SAMPLE,WATER,6,,55,,0.091,,0.79,,45.7,,0.017,,0.005,,24.3,,0.014,,0.542,,0.017,,0.13,,0.112,,2.21,,0.028,,0.02,,0.001,,341,,0.247,,0.277,,5.59,,4.91,,0.636,,2.67,,0.002,L,0.005,L,0.001,,0.99,,0.15,,0.2,,0.001,,177,L,0.01,,0.007,L,0.005,,2.6,L,0.001,,0.479,,0.686,,0.43,,1.1,,0.5,,9070,,0.171,,6.29,,210,,0.539,,0.141,,33.3,,0.228,,21.3,,1.72,,12.7,,6.47,,14.9,,2.92,,0.3,,0.028,,14300,,10,,8.27,,15.8,,377,,1.32,,17.9,,0.26,,0.007,,0.003,,18.8,,3.53,,0.62,,0.099,,228,L,0.01,,0.192,,0.271,,96.3,,0.012,,1.19,,25.2,,8.14,,47.6,,5.4
2013PN200020,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2013-06-26 11:10,TRIPLICATE SAMPLE,WATER,6,,55.4,,0.13,,0.78,,44.3,,0.018,,0.004,,23.5,,0.014,,0.524,,0.018,,0.14,,0.116,,2.2,,0.027,,0.02,,0.001,,347,,0.252,,0.276,,5.7,,4.42,,0.642,,2.51,,0.003,L,0.005,L,0.001,,0.959,,0.01,,0.2,,0.002,,166,L,0.01,,0.008,,0.006,,1.3,,0.016,,0.478,,0.534,,0.439,,1,,0.4,,6750,,0.118,,4.45,,148,,0.381,,0.114,,27.6,,0.131,,13.7,,1.37,,9.37,,4.2,,10.2,,2.13,,0.24,,0.021,,9950,,6.56,,5.65,,12.5,,245,,1.14,,12.5,,0.197,,0.005,,0.002,,14.6,,2.54,,0.53,,0.069,,205,,0.04,,0.147,,0.216,,74.8,,0.01,,0.9,,19,,5.02,,32.6,,4.3
2013PN200021,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2013-06-26 11:15,TRIPLICATE SAMPLE,WATER,6,,57.2,,0.104,,0.77,,44.8,,0.019,,0.005,,24.9,,0.015,,0.537,,0.018,,0.14,,0.117,,2.22,,0.028,,0.01,L,0.001,,355,,0.257,,0.285,,5.74,,4.44,,0.645,,2.57,,0.003,L,0.005,L,0.001,,0.951,,0.02,,0.2,,0.002,,167,L,0.01,,0.008,,0.006,,1.3,,0.015,,0.488,,0.555,,0.442,,0.9,,0.5,,7590,,0.128,,5,,169,,0.432,,0.131,,22.4,,0.154,,16.4,,1.54,,10.6,,4.74,,11.2,,2.49,,0.2,,0.024,,10800,,7.92,,6.56,,13.5,,280,,1.18,,13.6,,0.224,L,0.005,,0.001,,16.5,,2.78,,0.52,,0.076,,198,,0.04,,0.167,,0.245,,82.8,,0.013,,0.989,,20.7,,6.06,,36.5,,4.8
2013PN200022,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 6 OF 10,AL07DD0009,57.21502,-111.61068,2013-06-26 13:32,VERTICAL INTEGRATED,WATER,5.1,RANGEH,207,,0.103,,0.74,,45.5,,0.019,,0.005,,19.8,,0.015,,0.624,,0.026,,0.32,,0.13,,2.45,,0.061,,0.02,L,0.001,,441,,0.297,,0.322,,4.4,,5.14,,0.635,,2.53,,0.016,,0.008,L,0.001,,1.11,,0.17,,0.19,,0.003,,167,L,0.01,,0.009,,0.008,,5.1,L,0.001,,0.48,,0.944,,0.409,,1.1,,0.5,,9410,,0.15,,5.75,,183,,0.509,,0.141,,24.8,,0.176,,19.6,,1.71,,12.7,,5.71,,13.5,,2.96,,0.22,,0.025,,14000,,9.39,,7.46,,14.3,,337,,1.26,,16,,0.257,L,0.005,,0.001,,18.6,,3.51,,0.67,,0.085,,207,,0.05,,0.186,,0.281,,103,,0.018,,1.06,,25,,6.91,,44.8,,5.1
2013PN200023,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 9 OF 10,AL07DD0009,57.21523,-111.60808,2013-06-26 14:21,VERTICAL INTEGRATED,WATER,4.6,,66.6,,0.094,,0.73,,42.7,,0.018,,0.004,,21.6,,0.011,,0.558,,0.018,,0.15,,0.105,,2.12,,0.03,,0.02,L,0.001,,363,,0.264,,0.29,,4.6,,4.75,,0.598,,2.37,,0.003,L,0.005,L,0.001,,0.995,,0.02,,0.18,,0.003,,150,L,0.01,,0.008,,0.005,,1.2,,0.004,,0.426,,0.586,,0.426,,0.8,,0.5,,8470,,0.134,,5.26,,165,,0.433,,0.13,,31.6,,0.166,,17.4,,1.58,,11.5,,5.23,,11.8,,2.67,,0.26,,0.025,,12700,,8.24,,6.76,,13.5,,302,,1.1,,14.5,,0.253,L,0.005,,0.003,,17.2,,3.09,,0.59,,0.076,,188,,0.04,,0.172,,0.244,,98.4,,0.013,,0.949,,22.7,,6.32,,39,,5
2013PN200024,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.61150,2013-06-26 14:47,ISOKINETIC TRANSECT COMPOSITE - EWI,WATER,,,63.3,,0.109,,0.72,,45.8,,0.018,,0.005,,18.2,,0.014,,0.511,,0.018,,0.15,,0.106,,2.37,,0.029,,0.02,L,0.001,,314,,0.245,,0.28,,4.81,,4.27,,0.736,,2.46,,0.005,L,0.005,,0.001,,0.989,,0.02,,0.2,,0.004,,165,L,0.01,,0.008,,0.009,,1.2,,0.019,,0.496,,0.591,,0.388,,1,,0.5,,9840,,0.17,,6.12,,203,,0.529,,0.148,,21.4,,0.237,,21.6,,1.81,,13.8,,6.4,,14.6,,3.17,,0.24,,0.028,,15300,,10.3,,8.24,,15.4,,361,,1.35,,17.7,,0.272,,0.008,,0.003,,19.6,,3.73,,0.7,,0.096,,214,,0.05,,0.197,,0.306,,105,,0.016,,1.18,,26.9,,7.85,,50.1,,5.3
2013PN200025,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.61150,2013-06-26 14:52,ISOKINETIC TRANSECT COMPOSITE - EWI,WATER,,,62.3,,0.103,,0.72,,44.9,,0.017,,0.006,,18.2,,0.013,,0.52,,0.019,,0.15,,0.107,,2.47,,0.029,,0.01,L,0.001,,320,,0.245,,0.288,,4.77,,4.48,,0.708,,2.45,,0.004,L,0.005,L,0.001,,0.951,,0.02,,0.2,,0.004,,165,L,0.01,,0.008,,0.007,,1.4,,0.024,,0.491,,0.583,,0.39,,1,,0.5,,9240,,0.162,,5.7,,196,,0.514,,0.151,,26.9,,0.191,,20.1,,1.78,,12.8,,5.77,,13.6,,3.07,,0.25,,0.025,,14200,,9.59,,7.79,,14.8,,328,,1.32,,16.3,,0.264,,0.012,L,0.001,,19.4,,3.44,,0.7,,0.097,,203,,0.04,,0.197,,0.306,,101,,0.013,,1.12,,25.4,,7.19,,44.9,,5.1
2013PN200026,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.61150,2013-06-26 14:57,ISOKINETIC TRANSECT COMPOSITE - EWI,WATER,,,60.2,,0.105,,0.73,,45.1,,0.016,,0.005,,20,,0.015,,0.495,,0.017,,0.14,,0.099,,2.39,,0.028,,0.02,L,0.001,,305,,0.241,,0.279,,4.88,,4.1,,0.713,,2.43,,0.003,L,0.005,L,0.001,,0.986,,0.03,,0.19,,0.004,,166,L,0.01,,0.008,,0.008,,1,,0.009,,0.5,,0.556,,0.392,,0.8,,0.4,,9430,,0.157,,6.03,,196,,0.531,,0.149,,21.6,,0.204,,20.7,,1.81,,12.9,,5.84,,14,,3.04,,0.24,,0.03,,14400,,9.84,,7.93,,14.9,,343,,1.33,,16.4,,0.261,,0.016,,0.002,,19.6,,3.37,,0.67,,0.089,,206,,0.04,,0.206,,0.302,,104,,0.015,,1.12,,25.4,,7.26,,45.3,,4.9
2013PN200031,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2013-06-27 11:34,VERTICAL INTEGRATED,WATER,6.8,,88.1,,0.106,,0.78,,45.2,,0.021,,0.005,,25.2,,0.013,,0.528,,0.024,,0.17,,0.126,,2.39,,0.035,,0.02,L,0.001,,376,,0.26,,0.318,,6.11,,5.26,,0.713,,2.45,,0.005,L,0.005,L,0.001,,0.912,,0.03,,0.22,,0.003,,160,,0.01,,0.01,,0.005,,1,,0.009,,0.442,,0.581,,0.412,,1.1,,0.5,,9800,,0.174,,5.78,,197,,0.543,,0.146,,30.6,,0.226,,18.4,,1.86,,12.9,,5.88,,13.6,,3.05,,0.22,,0.027,,14600,,8.79,,8.13,,16.7,,363,,1.5,,17.5,,0.237,,0.009,,0.003,,20.2,,3.71,,0.72,,0.095,,215,L,0.01,,0.227,,0.312,,108,,0.023,,1.03,,24.8,,7.18,,46.9,,4.4
2013PN200032,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 6 OF 10,AL07DD0007,57.31373,-111.67093,2013-06-27 12:35,VERTICAL INTEGRATED,WATER,5.3,RANGEH,344,,0.118,,0.76,,48.2,,0.024,,0.006,,19.4,,0.016,,0.686,,0.043,,0.45,,0.169,,2.59,,0.091,,0.02,,0.001,,536,,0.353,,0.422,,4.33,,6.8,,0.673,,2.5,,0.023,L,0.005,,0.001,,1.2,,0.21,,0.21,,0.008,,165,L,0.01,,0.012,,0.008,RANGEH,9.2,,0.003,,0.475,,1.24,,0.468,,1.6,,0.6,,11900,,0.187,,7.09,,228,,0.633,,0.178,,26.3,,0.284,,23,,2.12,,15.7,,7.38,,17.3,,3.62,,0.26,,0.032,,18000,,10.9,,9.73,,17.7,,461,,1.6,,21.3,,0.273,L,0.005,,0.001,,23.4,,4.46,,0.8,,0.103,,237,,0.05,,0.268,,0.317,,105,,0.02,,1.2,,29.9,,8.83,,59.4,,4.6
2013PN200033,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2013-06-27 13:19,VERTICAL INTEGRATED,WATER,4.9,,102,,0.099,,0.78,,44.1,,0.022,,0.005,,20,,0.014,,0.63,,0.026,,0.2,,0.132,,2.33,,0.04,,0.02,L,0.001,,432,,0.305,,0.372,,4.33,,6.01,,0.613,,2.46,,0.004,L,0.005,L,0.001,,0.911,,0.02,,0.2,,0.003,,147,L,0.01,,0.008,,0.005,,1.4,RANGEH,0.022,,0.411,,0.7,,0.452,,1.2,,0.5,,10400,,0.172,,6,,206,,0.584,,0.153,,21.7,,0.254,,21,,1.94,,13.9,,6.36,,14.7,,3.34,,0.3,,0.031,,15100,,10,,8.8,,16.6,,397,,1.47,,18.2,,0.28,,0.013,,0.001,,21.8,,3.89,,0.74,,0.099,,205,,0.04,,0.243,,0.304,,106,,0.021,,1.09,,26.9,,8.03,,49.3,,4.9
2013PN200034,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M7, BELOW ELLS RIVER",AL07DD0007,57.31373,-111.67183,2013-06-27 13:35,ISOKINETIC TRANSECT COMPOSITE - EWI,WATER,,,100,,0.107,,0.76,,46.1,,0.024,,0.004,,19.6,,0.015,,0.588,,0.025,,0.19,,0.125,,2.44,,0.04,,0.02,L,0.001,,381,,0.282,,0.364,,4.61,,5.78,,0.668,,2.45,,0.004,L,0.005,L,0.001,,0.906,,0.03,,0.2,,0.002,,164,L,0.01,,0.009,,0.007,,1,,0.006,,0.469,,0.627,,0.423,,1.4,,0.5,,11300,,0.19,,6.57,,224,,0.629,,0.17,,26.8,,0.296,,22.4,,2.1,,15,,7.02,,16.3,,3.58,,0.25,,0.033,,16100,,10.6,,9.56,,17.7,,432,,1.6,,20.9,,0.28,,0.008,,0.001,,22.9,,4.31,,0.79,,0.107,,226,,0.02,,0.261,,0.345,,109,,0.018,,1.19,,28.7,,8.76,,57.1,,4.8
2013PN200035,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M7, BELOW ELLS RIVER",AL07DD0007,57.31373,-111.67183,2013-06-27 13:40,ISOKINETIC TRANSECT COMPOSITE - EWI,WATER,,,111,,0.11,,0.74,,46.7,,0.022,,0.005,,20.2,,0.016,,0.616,,0.032,,0.2,,0.127,,2.51,,0.043,,0.02,,0.001,,424,,0.294,,0.374,,4.62,,6.1,,0.757,,2.43,,0.004,L,0.005,,0.001,,0.948,,0.04,,0.2,,0.005,,169,,0.01,,0.009,,0.006,,1.8,,0.004,,0.475,,0.684,,0.435,,1.3,,0.5,,11100,,0.189,,6.2,,219,,0.642,,0.165,,23.5,,0.258,,21.8,,2.14,,15.3,,6.73,,15.7,,3.61,,0.16,,0.03,,15800,,10.4,,9.23,,17.4,,409,,1.66,,19.7,,0.283,,0.011,,0.001,,23,,4.27,,0.85,,0.118,,218,,0.02,,0.249,,0.34,,111,,0.018,,1.15,,29.1,,8.31,,53.2,,5.1
2013PN200036,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M7, BELOW ELLS RIVER",AL07DD0007,57.31373,-111.67183,2013-06-27 13:45,ISOKINETIC TRANSECT COMPOSITE - EWI,WATER,,,109,,0.108,,0.73,,45.9,,0.021,,0.006,,18.9,,0.014,,0.61,,0.03,,0.2,,0.132,,2.47,,0.044,,0.02,L,0.001,,394,,0.293,,0.375,,4.57,,6.12,,0.749,,2.38,,0.005,L,0.005,L,0.001,,0.938,,0.04,,0.21,,0.005,,163,L,0.01,,0.009,,0.006,,1.8,RANGEH,0.023,,0.476,,0.695,,0.433,,1.3,,0.5,,11700,,0.207,,6.71,,236,,0.644,,0.177,,26.9,,0.282,,23.5,,2.23,,16,,7.38,,17,,3.83,,0.25,,0.032,,16900,,11.1,,9.88,,18.3,,441,,1.65,,21.3,,0.28,,0.011,,0.002,,24.1,,4.15,,0.72,,0.106,,226,,0.08,,0.276,,0.378,,111,,0.022,,1.23,,30.7,,9.09,,57.2,,5
2013PN200038,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 3 OF 10,AL07DD0004,57.12669444,-111.60353,2013-07-09 12:30,VERTICAL INTEGRATED,WATER,3.9,,37.9,,0.083,,0.72,,50,,0.01,,0.002,,18.6,,0.01,,0.244,,0.008,,0.1,,0.091,,1.29,,0.019,,0.02,L,0.001,,260,,0.117,,0.139,,4.81,,3.96,,0.758,,1.55,,0.002,L,0.005,L,0.001,,0.771,,0.02,,0.21,,0.002,,194,L,0.01,,0.008,,0.006,,0.8,,0.013,,0.411,,0.43,,0.21,,0.6,,0.2,,3080,,0.134,,2.23,,98.2,,0.148,,0.041,,19.5,,0.063,,5.59,,0.542,,4.22,,1.62,,4.49,,0.964,,0.08,,0.028,,4350,,2.62,,2.24,,7.88,,112,,0.995,,5.44,,0.098,,0.005,,0.001,,6.37,,1.19,,0.34,,0.031,,209,,0.23,,0.063,,0.207,,41.7,,0.034,,0.591,,8.51,,2.05,,12.7,,2.2
2013PN200039,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 8 OF 10,AL07DD0004,57.12733333,-111.60106,2013-07-09 14:00,VERTICAL INTEGRATED,WATER,4.6,,41.8,,0.067,,0.77,,43.5,,0.013,,0.002,,20.2,,0.011,,0.328,,0.01,,0.12,,0.106,,1.2,,0.02,,0.01,L,0.001,,510,,0.163,,0.185,,4.85,,5.13,,0.592,,1.59,,0.004,L,0.005,L,0.001,,0.828,,0.02,,0.17,,0.001,,167,L,0.01,,0.007,,0.006,,0.7,L,0.001,,0.339,,0.484,,0.256,,0.6,,0.3,,3100,,0.117,,2.34,,88.1,,0.158,,0.042,,22.8,,0.056,,6.25,,0.534,,4.23,,1.68,,4.56,,0.977,,0.08,,0.028,,4670,,2.96,,2.2,,8.01,,133,,0.789,,5.43,,0.104,L,0.005,L,0.001,,6.43,,1.1,,0.3,,0.029,,181,,0.11,,0.059,,0.212,,45.2,,0.01,,0.516,,8.37,,2.17,,12.8,,2.5
2013PN200040,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.60014,2013-07-09 14:15,VERTICAL INTEGRATED,WATER,7.3,,43.6,,0.064,,0.77,,41.1,,0.012,,0.003,,21.1,,0.007,,0.33,,0.008,,0.13,,0.103,,1.19,,0.019,,0.01,L,0.001,,589,,0.162,,0.182,,4.69,,5.13,,0.573,,1.54,,0.004,L,0.005,L,0.001,,0.833,,0.02,,0.16,,0.002,,156,L,0.01,,0.007,,0.01,,1.3,L,0.001,,0.311,,0.499,,0.265,,0.6,,0.3,,2810,,0.121,,2.3,,83.6,,0.146,,0.035,,22.6,,0.062,,6,,0.489,,3.94,,1.7,,4.36,,0.9,,0.07,,0.029,,4590,,2.8,,2.15,,7.96,,135,,0.764,,5.31,,0.102,L,0.005,L,0.001,,6.06,,1.09,,0.27,,0.033,,174,,0.1,,0.058,,0.211,,37.9,,0.011,,0.49,,7.64,,2.08,,12.5,,2.4
2013PN200041,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.60242,2013-07-09 14:45,ISOKINETIC TRANSECT COMPOSITE - EWI,WATER,,,45.6,,0.074,,0.73,,44.9,,0.012,,0.002,,18.4,,0.01,,0.286,,0.009,,0.12,,0.088,,1.3,,0.021,,0.02,L,0.001,,417,,0.144,,0.169,,4.81,,4.28,,0.681,,1.54,,0.004,L,0.005,L,0.001,,0.825,,0.03,,0.18,,0.002,,170,L,0.01,,0.007,,0.013,,1.3,,0.013,,0.362,,0.463,,0.245,,0.9,,0.3,,2930,,0.125,,2.35,,94.5,,0.157,,0.042,,22.6,,0.059,,6.49,,0.534,,4.07,,1.75,,4.67,,0.961,,0.08,,0.029,,4710,,3.02,,2.41,,8.11,,129,,0.881,,5.61,,0.102,L,0.005,,0.002,,6.25,,1.15,,0.32,,0.032,,187,,0.05,,0.063,,0.21,,39.4,,0.01,,0.568,,8.04,,2.26,,14.7,,2.4
2013PN200042,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.60242,2013-07-09 14:50,ISOKINETIC TRANSECT COMPOSITE - EWI,WATER,,,44.9,,0.075,,0.73,,44.8,,0.011,,0.002,,18.5,,0.01,,0.287,,0.01,,0.12,,0.094,,1.28,,0.021,,0.01,L,0.001,,418,,0.148,,0.179,,4.79,,4.2,,0.677,,1.54,,0.004,L,0.005,L,0.001,,0.825,,0.03,,0.18,,0.002,,170,L,0.01,,0.007,,0.008,,1.2,,0.017,,0.361,,0.474,,0.241,,0.7,,0.3,,3130,,0.133,,2.45,,93.4,,0.163,,0.045,,20.8,,0.069,,6.59,,0.575,,4.12,,1.91,,5.03,,0.998,,0.08,,0.004,,5120,,3.15,,2.44,,8.36,,142,,0.819,,5.98,,0.114,L,0.005,L,0.001,,6.72,,1.32,,0.29,,0.027,,193,,0.03,,0.062,,0.117,,44.2,,0.006,,0.546,,8.46,,2.36,,14.9,,2.5
2013PN200043,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.60242,2013-07-09 14:55,ISOKINETIC TRANSECT COMPOSITE - EWI,WATER,,,45,,0.074,,0.71,,44.8,,0.013,,0.003,,19.5,,0.009,,0.285,,0.009,,0.12,,0.091,,1.29,,0.019,,0.02,L,0.001,,415,,0.145,,0.173,,4.77,,4.01,,0.677,,1.55,,0.005,L,0.005,L,0.001,,0.832,,0.03,,0.19,,0.002,,172,L,0.01,,0.007,,0.011,,1.5,L,0.001,,0.365,,0.473,,0.244,,0.7,,0.3,,2980,,0.13,,2.23,,88.7,,0.149,,0.038,,21.4,,0.065,,5.97,,0.533,,3.91,,1.68,,4.28,,0.928,,0.06,,0.004,,4650,,2.83,,2.14,,7.92,,126,,0.841,,5.23,,0.109,L,0.005,,0.001,,6.23,,1.23,,0.27,,0.035,,192,,0.06,,0.06,,0.124,,38.2,,0.005,,0.525,,8.01,,2.09,,13.2,,2.5
2013PN200044,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.62750,2013-07-10 11:10,VERTICAL INTEGRATED,WATER,5,,46.7,,0.073,,0.72,,45.1,,0.011,,0.003,,19.2,,0.011,,0.288,,0.009,,0.12,,0.09,,1.27,,0.02,,0.01,L,0.001,,429,,0.14,,0.209,,4.73,,4.28,,0.647,,1.46,,0.003,L,0.005,L,0.001,,0.798,,0.03,,0.16,,0.002,,174,L,0.01,,0.007,,0.006,,1.7,L,0.001,,0.358,,0.47,,0.236,,0.6,,0.3,,2630,,0.094,,2.25,,86.7,,0.14,,0.034,,23,,0.068,,5.74,,0.495,,3.56,,1.69,,4.2,,0.875,,0.06,,0.004,,4470,,2.75,,2.17,,7.61,,128,,0.853,,5.15,,0.086,L,0.005,L,0.001,,5.93,,1.07,,0.29,,0.025,,196,,0.01,,0.057,,0.091,,35.5,,0.007,,0.533,,7.2,,2.07,,12.4,,2.2
2013PN200045,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.62469,2013-07-10 12:30,VERTICAL INTEGRATED,WATER,3,,50.7,,0.063,,0.81,,40.8,,0.012,,0.003,,21.4,,0.01,,0.348,,0.009,,0.14,,0.106,,1.12,,0.021,,0.01,L,0.001,,654,,0.176,,0.189,,4.78,,5.77,,0.551,,1.53,,0.005,L,0.005,L,0.001,,0.876,,0.04,,0.15,,0.001,,151,L,0.01,,0.007,L,0.005,,1.2,,0.004,,0.291,,0.533,,0.274,,0.6,,0.3,,2520,,0.082,,2.19,,75.3,,0.136,,0.029,,27.8,,0.047,,5.07,,0.44,,3.38,,1.53,,3.7,,0.801,,0.07,,0.004,,4290,,2.41,,1.79,,7.6,,133,,0.69,,4.68,,0.088,L,0.005,L,0.001,,5.6,,0.95,,0.26,,0.022,,171,,0.01,,0.05,,0.079,,35,,0.008,,0.443,,6.92,,1.85,,10.7,,2.3
2013PN200046,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.62394,2013-07-10 12:50,VERTICAL INTEGRATED,WATER,2.9,,97.6,,0.061,,0.82,,40.8,,0.013,,0.003,,22.2,,0.009,,0.345,,0.009,,0.19,,0.113,,1.11,,0.02,,0.01,L,0.001,,674,,0.175,,0.187,,4.89,,6.22,,0.528,,1.55,,0.005,L,0.005,L,0.001,,0.86,,0.05,,0.15,,0.002,,148,,0.01,,0.007,L,0.005,,3.9,,0.014,,0.29,,0.626,,0.272,,0.7,,0.3,,2470,,0.084,,2.14,,76.3,,0.131,,0.031,,25.6,,0.048,,5.19,,0.433,,3.36,,1.52,,3.53,,0.81,,0.07,,0.003,,4320,,2.42,,1.78,,7.65,,136,,0.681,,4.64,,0.087,L,0.005,L,0.001,,5.54,,0.96,,0.27,,0.021,,169,,0.02,,0.046,,0.088,,32.6,,0.007,,0.434,,6.89,,1.85,,10.4,,2.3
2013PN200047,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.62705,2013-07-10 13:05,ISOKINETIC TRANSECT COMPOSITE - EWI,WATER,,,101,,0.075,,0.77,,45.3,,0.012,,0.003,,17.6,,0.01,,0.307,,0.012,,0.19,,0.103,,1.34,,0.033,,0.01,L,0.001,,475,,0.158,,0.177,,4.68,,4.25,,0.658,,1.51,,0.011,L,0.005,L,0.001,,0.878,,0.05,,0.18,,0.002,,170,L,0.01,,0.007,,0.008,,3.3,,0.007,,0.352,,0.604,,0.244,,0.6,,0.3,,2460,,0.105,,2.07,,83.3,,0.139,,0.032,,20.2,,0.048,,5.04,,0.472,,3.18,,1.49,,4.19,,0.801,,0.05,,0.003,,4100,,2.37,,1.92,,7.57,,116,,1.23,,4.7,,0.087,,0.013,L,0.001,,5.68,,1.09,,0.3,,0.027,,191,,0.01,,0.052,,0.103,,35.3,,0.008,,0.485,,6.59,,1.86,,11.1,,2.1
2013PN200048,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.62705,2013-07-10 13:10,ISOKINETIC TRANSECT COMPOSITE - EWI,WATER,,,60.6,,0.07,,0.73,,44.9,,0.011,,0.003,,18.6,,0.009,,0.295,,0.01,,0.13,,0.091,,1.2,,0.025,,0.01,L,0.001,,464,,0.158,,0.189,,4.87,,4.27,,0.668,,1.47,,0.007,L,0.005,L,0.001,,0.826,,0.03,,0.17,,0.002,,173,L,0.01,,0.008,,0.012,,1.5,L,0.001,,0.363,,0.513,,0.238,,0.6,,0.3,,3020,,0.116,,2.42,,92.1,,0.158,,0.039,,19.5,,0.057,,6.14,,0.516,,3.97,,1.87,,4.6,,0.944,,0.04,,0.003,,4940,,2.87,,2.31,,8.29,,138,,0.781,,5.5,,0.111,,0.009,,0.002,,6.4,,1.22,,0.29,,0.036,,193,,0.05,,0.062,,0.123,,41.4,,0.008,,0.536,,8.08,,2.28,,13.5,,2.4
2013PN200049,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.62705,2013-07-10 13:15,ISOKINETIC TRANSECT COMPOSITE - EWI,WATER,,,46.8,,0.07,,0.73,,44.6,,0.012,,0.002,,18.2,,0.009,,0.287,,0.009,,0.13,,0.097,,1.21,,0.021,,0.01,L,0.001,,441,,0.148,,0.177,,4.76,,4.28,,0.677,,1.48,,0.004,L,0.005,L,0.001,,0.814,,0.02,,0.18,,0.002,,170,L,0.01,,0.007,,0.005,,1.5,,0.005,,0.352,,0.478,,0.24,,0.6,,0.3,,2690,,0.123,,2.08,,85.6,,0.147,,0.033,,20.2,,0.045,,5.31,,0.484,,3.5,,1.64,,4.2,,0.848,,0.07,,0.004,,4470,,2.53,,2.06,,7.89,,123,,0.786,,5.14,,0.117,,0.011,,0.001,,6.05,,1.07,,0.3,,0.031,,190,,0.06,,0.054,,0.101,,39,,0.008,,0.517,,7.4,,1.97,,12.1,,2.2
2013PN200050,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.62750,2013-07-23 13:53,VERTICAL INTEGRATED,WATER,4.2,,52.4,,0.061,,0.74,,43.3,,0.01,,0.002,,18.5,,0.01,,0.248,,0.008,,0.1,,0.089,,1.19,,0.019,,0.01,L,0.001,,484,,0.127,,0.155,,4.99,,3.71,,0.568,,1.38,,0.002,L,0.005,,0.001,,0.857,,0.14,,0.14,,0.027,,174,L,0.01,,0.006,,0.05,,1.5,L,0.001,,0.33,,0.442,,0.205,,0.6,,0.2,,1400,,0.068,,1.53,,63.5,,0.074,,0.017,,20.1,,0.034,,3.01,,0.257,,1.89,,0.878,,2.5,,0.457,,0.02,,0.002,,2620,,1.44,,1.06,,6.59,,79.2,,0.675,,3.1,,0.058,L,0.005,L,0.001,,3.5,,0.62,,0.21,,0.015,,182,L,0.01,,0.029,,0.089,,20.8,,0.005,,0.413,,3.86,,1.15,,6.1,,1.6
